record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
node,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Mist Mage,Mist_Mage,hero,wh3_dlc27_hef_mist_mage,engineer,engineer,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,true,wh3_dlc27_lore_mists,,wh3_dlc27_skill_node_set_hef_mist_mage,,2,engineer,false,false,,,,wh3_dlc27_skill_node_hef_mist_mage_magic_1_2,wh3_dlc27_skill_all_magic_mists_02_ladrielles_shroud,{{tr:unit_abilities_onscreen_name_wh3_dlc27_spell_mists_ladrielles_shroud}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_spell_mists_ladrielles_shroud}},wh3_dlc27_spell_mists_ladrielles_shroud.png,2,3,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc27_skill_node_hef_mist_mage_magic_1_2
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Mist Mage,Mist_Mage,hero,wh3_dlc27_hef_mist_mage,engineer,engineer,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,true,wh3_dlc27_lore_mists,,wh3_dlc27_skill_node_set_hef_mist_mage,,2,engineer,false,false,,,,wh3_dlc27_skill_node_hef_mist_mage_magic_1_2,wh3_dlc27_skill_all_magic_mists_02_ladrielles_shroud,{{tr:unit_abilities_onscreen_name_wh3_dlc27_spell_mists_ladrielles_shroud}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_spell_mists_ladrielles_shroud}},wh3_dlc27_spell_mists_ladrielles_shroud.png,2,3,0,0,true,0,3,1,{{tr:unit_abilities_onscreen_name_wh3_dlc27_spell_mists_ladrielles_shroud}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_spell_mists_ladrielles_shroud}},,,,,,wh3_dlc27_effect_ability_enable_ladrielles_shroud,"Spell: ""Ladrielle's Shroud""",,character_to_character_own,1,battle,290,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_all_magic_mists_02_ladrielles_shroud|wh3_dlc27_effect_ability_enable_ladrielles_shroud|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Mist Mage,Mist_Mage,hero,wh3_dlc27_hef_mist_mage,engineer,engineer,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,true,wh3_dlc27_lore_mists,,wh3_dlc27_skill_node_set_hef_mist_mage,,2,engineer,false,false,,,,wh3_dlc27_skill_node_hef_mist_mage_magic_1_2,wh3_dlc27_skill_all_magic_mists_02_ladrielles_shroud,{{tr:unit_abilities_onscreen_name_wh3_dlc27_spell_mists_ladrielles_shroud}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_spell_mists_ladrielles_shroud}},wh3_dlc27_spell_mists_ladrielles_shroud.png,2,3,0,0,true,0,3,2,{{tr:unit_abilities_onscreen_name_wh3_dlc27_spell_mists_ladrielles_shroud}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_spell_mists_ladrielles_shroud}},,,,,,wh3_dlc27_effect_ability_cooldown_ladrielles_shroud,"Cooldown: %+n% for ""Ladrielle's Shroud""",,character_to_character_own,-30,both,293,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_all_magic_mists_02_ladrielles_shroud|wh3_dlc27_effect_ability_cooldown_ladrielles_shroud|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Mist Mage,Mist_Mage,hero,wh3_dlc27_hef_mist_mage,engineer,engineer,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,true,wh3_dlc27_lore_mists,,wh3_dlc27_skill_node_set_hef_mist_mage,,2,engineer,false,false,,,,wh3_dlc27_skill_node_hef_mist_mage_magic_1_2,wh3_dlc27_skill_all_magic_mists_02_ladrielles_shroud,{{tr:unit_abilities_onscreen_name_wh3_dlc27_spell_mists_ladrielles_shroud}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_spell_mists_ladrielles_shroud}},wh3_dlc27_spell_mists_ladrielles_shroud.png,2,3,0,0,true,0,3,2,{{tr:unit_abilities_onscreen_name_wh3_dlc27_spell_mists_ladrielles_shroud}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_spell_mists_ladrielles_shroud}},,,,,,wh3_dlc27_effect_ability_overcast_ladrielles_shroud,"Overcast spell: ""Ladrielle's Shroud Upgraded""",,character_to_character_own,1,both,292,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_all_magic_mists_02_ladrielles_shroud|wh3_dlc27_effect_ability_overcast_ladrielles_shroud|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Mist Mage,Mist_Mage,hero,wh3_dlc27_hef_mist_mage,engineer,engineer,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,true,wh3_dlc27_lore_mists,,wh3_dlc27_skill_node_set_hef_mist_mage,,2,engineer,false,false,,,,wh3_dlc27_skill_node_hef_mist_mage_magic_1_2,wh3_dlc27_skill_all_magic_mists_02_ladrielles_shroud,{{tr:unit_abilities_onscreen_name_wh3_dlc27_spell_mists_ladrielles_shroud}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_spell_mists_ladrielles_shroud}},wh3_dlc27_spell_mists_ladrielles_shroud.png,2,3,0,0,true,0,3,3,{{tr:unit_abilities_onscreen_name_wh3_dlc27_spell_mists_ladrielles_shroud}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_spell_mists_ladrielles_shroud}},,,,,,wh3_dlc27_effect_ability_cooldown_ladrielles_shroud,"Cooldown: %+n% for ""Ladrielle's Shroud""",,character_to_character_own,-50,both,293,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_all_magic_mists_02_ladrielles_shroud|wh3_dlc27_effect_ability_cooldown_ladrielles_shroud|3|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Mist Mage,Mist_Mage,hero,wh3_dlc27_hef_mist_mage,engineer,engineer,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,true,wh3_dlc27_lore_mists,,wh3_dlc27_skill_node_set_hef_mist_mage,,2,engineer,false,false,,,,wh3_dlc27_skill_node_hef_mist_mage_magic_1_2,wh3_dlc27_skill_all_magic_mists_02_ladrielles_shroud,{{tr:unit_abilities_onscreen_name_wh3_dlc27_spell_mists_ladrielles_shroud}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_spell_mists_ladrielles_shroud}},wh3_dlc27_spell_mists_ladrielles_shroud.png,2,3,0,0,true,0,3,3,{{tr:unit_abilities_onscreen_name_wh3_dlc27_spell_mists_ladrielles_shroud}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_spell_mists_ladrielles_shroud}},,,,,,wh3_dlc27_effect_ability_miscast_ladrielles_shroud_upgraded,"Miscast base chance: %+n% for ""Ladrielle's Shroud Upgraded""",,character_to_character_own,-15,both,298,false,magic.png,magic.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_all_magic_mists_02_ladrielles_shroud|wh3_dlc27_effect_ability_miscast_ladrielles_shroud_upgraded|3|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Mist Mage,Mist_Mage,hero,wh3_dlc27_hef_mist_mage,engineer,engineer,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,true,wh3_dlc27_lore_mists,,wh3_dlc27_skill_node_set_hef_mist_mage,,2,engineer,false,false,,,,wh3_dlc27_skill_node_hef_mist_mage_magic_1_2,wh3_dlc27_skill_all_magic_mists_02_ladrielles_shroud,{{tr:unit_abilities_onscreen_name_wh3_dlc27_spell_mists_ladrielles_shroud}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_spell_mists_ladrielles_shroud}},wh3_dlc27_spell_mists_ladrielles_shroud.png,2,3,0,0,true,0,3,3,{{tr:unit_abilities_onscreen_name_wh3_dlc27_spell_mists_ladrielles_shroud}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_spell_mists_ladrielles_shroud}},,,,,,wh3_dlc27_effect_ability_overcast_ladrielles_shroud,"Overcast spell: ""Ladrielle's Shroud Upgraded""",,character_to_character_own,1,both,292,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_all_magic_mists_02_ladrielles_shroud|wh3_dlc27_effect_ability_overcast_ladrielles_shroud|3|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Mist Mage,Mist_Mage,hero,wh3_dlc27_hef_mist_mage,engineer,engineer,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,true,wh3_dlc27_lore_mists,,wh3_dlc27_skill_node_set_hef_mist_mage,,2,engineer,false,false,,,,wh3_dlc27_skill_node_hef_mist_mage_magic_1_2,wh3_dlc27_skill_all_magic_mists_02_ladrielles_shroud,{{tr:unit_abilities_onscreen_name_wh3_dlc27_spell_mists_ladrielles_shroud}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_spell_mists_ladrielles_shroud}},wh3_dlc27_spell_mists_ladrielles_shroud.png,2,3,0,0,true,0,3,3,{{tr:unit_abilities_onscreen_name_wh3_dlc27_spell_mists_ladrielles_shroud}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_spell_mists_ladrielles_shroud}},,,,,,wh3_dlc27_effect_ability_wom_cost_ladrielles_shroud,"Winds of Magic cost: %n for ""Ladrielle's Shroud""",,character_to_character_own,-1,both,294,false,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_all_magic_mists_02_ladrielles_shroud|wh3_dlc27_effect_ability_wom_cost_ladrielles_shroud|3|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Mist Mage,Mist_Mage,hero,wh3_dlc27_hef_mist_mage,engineer,engineer,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,true,wh3_dlc27_lore_mists,,wh3_dlc27_skill_node_set_hef_mist_mage,,2,engineer,false,false,,,,wh3_dlc27_skill_node_hef_mist_mage_magic_1_2,wh3_dlc27_skill_all_magic_mists_02_ladrielles_shroud,{{tr:unit_abilities_onscreen_name_wh3_dlc27_spell_mists_ladrielles_shroud}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_spell_mists_ladrielles_shroud}},wh3_dlc27_spell_mists_ladrielles_shroud.png,2,3,0,0,true,0,3,3,{{tr:unit_abilities_onscreen_name_wh3_dlc27_spell_mists_ladrielles_shroud}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_spell_mists_ladrielles_shroud}},,,,,,wh3_dlc27_effect_ability_wom_cost_ladrielles_shroud_upgraded,"Winds of Magic cost: %n for ""Ladrielle's Shroud Upgraded""",,character_to_character_own,-2,both,295,false,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_all_magic_mists_02_ladrielles_shroud|wh3_dlc27_effect_ability_wom_cost_ladrielles_shroud_upgraded|3|character_to_character_own
node,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Mist Mage,Mist_Mage,hero,wh3_dlc27_hef_mist_mage,engineer,engineer,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,true,wh3_dlc27_lore_mists,,wh3_dlc27_skill_node_set_hef_mist_mage,,2,engineer,false,false,,,,wh3_dlc27_skill_node_hef_mist_mage_campaign_3,wh2_main_skill_all_hero_hinder_settlement_damage_walls,{{tr:agent_action_name_damage_walls}},They cannot stop what they cannot see.,campaign_siege_attack.png,2,5,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc27_skill_node_hef_mist_mage_campaign_3
skill_level,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Mist Mage,Mist_Mage,hero,wh3_dlc27_hef_mist_mage,engineer,engineer,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,true,wh3_dlc27_lore_mists,,wh3_dlc27_skill_node_set_hef_mist_mage,,2,engineer,false,false,,,,wh3_dlc27_skill_node_hef_mist_mage_campaign_3,wh2_main_skill_all_hero_hinder_settlement_damage_walls,{{tr:agent_action_name_damage_walls}},They cannot stop what they cannot see.,campaign_siege_attack.png,2,5,0,0,true,0,3,2,{{tr:agent_action_name_damage_walls}},They cannot stop what they cannot see.,4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_hinder_settlement_damage_walls|2|||
skill_level,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Mist Mage,Mist_Mage,hero,wh3_dlc27_hef_mist_mage,engineer,engineer,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,true,wh3_dlc27_lore_mists,,wh3_dlc27_skill_node_set_hef_mist_mage,,2,engineer,false,false,,,,wh3_dlc27_skill_node_hef_mist_mage_campaign_3,wh2_main_skill_all_hero_hinder_settlement_damage_walls,{{tr:agent_action_name_damage_walls}},They cannot stop what they cannot see.,campaign_siege_attack.png,2,5,0,0,true,0,3,3,{{tr:agent_action_name_damage_walls}},They cannot stop what they cannot see.,9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_hinder_settlement_damage_walls|3|||
