record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
skill_level,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Night Goblin Big Boss,Night_Goblin_Big_Boss,hero,wh3_dlc26_grn_night_goblin_big_boss,dignitary,dignitary,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_dlc03_grn_black_pit|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,false,,,wh3_dlc26_skill_node_set_grn_night_goblin_big_boss,,1,dignitary,false,false,,,,wh3_dlc26_skill_grn_night_goblin_big_boss_generic_1,wh3_dlc26_skill_grn_night_goblin_big_boss_deadly_schemer,Deadly Schemer,"There is no one whom the Night Goblin Big Boss has faced and hasn’t ran away from – and no one whose back he has seen and hasn’t stabbed, and killed.",character_agent.png,3,0,0,0,true,0,1,1,Deadly Schemer,"There is no one whom the Night Goblin Big Boss has faced and hasn’t ran away from – and no one whose back he has seen and hasn’t stabbed, and killed.",6,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc26_skill_grn_night_goblin_big_boss_deadly_schemer|1|||
effect,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Night Goblin Big Boss,Night_Goblin_Big_Boss,hero,wh3_dlc26_grn_night_goblin_big_boss,dignitary,dignitary,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_dlc03_grn_black_pit|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,false,,,wh3_dlc26_skill_node_set_grn_night_goblin_big_boss,,1,dignitary,false,false,,,,wh3_dlc26_skill_grn_night_goblin_big_boss_generic_1,wh3_dlc26_skill_grn_night_goblin_big_boss_deadly_schemer,Deadly Schemer,"There is no one whom the Night Goblin Big Boss has faced and hasn’t ran away from – and no one whose back he has seen and hasn’t stabbed, and killed.",character_agent.png,3,0,0,0,true,0,1,1,Deadly Schemer,"There is no one whom the Night Goblin Big Boss has faced and hasn’t ran away from – and no one whose back he has seen and hasn’t stabbed, and killed.",,,,,,wh_main_effect_agent_action_success_chance,Hero action success chance: %+n%,,character_to_character_own,10,campaign,101,true,agent.png,agent.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc26_skill_grn_night_goblin_big_boss_deadly_schemer|wh_main_effect_agent_action_success_chance|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Night Goblin Big Boss,Night_Goblin_Big_Boss,hero,wh3_dlc26_grn_night_goblin_big_boss,dignitary,dignitary,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_dlc03_grn_black_pit|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,false,,,wh3_dlc26_skill_node_set_grn_night_goblin_big_boss,,1,dignitary,false,false,,,,wh3_dlc26_skill_grn_night_goblin_big_boss_generic_1,wh3_dlc26_skill_grn_night_goblin_big_boss_deadly_schemer,Deadly Schemer,"There is no one whom the Night Goblin Big Boss has faced and hasn’t ran away from – and no one whose back he has seen and hasn’t stabbed, and killed.",character_agent.png,3,0,0,0,true,0,1,1,Deadly Schemer,"There is no one whom the Night Goblin Big Boss has faced and hasn’t ran away from – and no one whose back he has seen and hasn’t stabbed, and killed.",,,,,,wh_main_effect_agent_defence_wound_chance_mod,Hero self-defence: %+n% chance of wounding aggressors,,character_to_character_own,10,campaign,101,true,agent.png,agent.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc26_skill_grn_night_goblin_big_boss_deadly_schemer|wh_main_effect_agent_defence_wound_chance_mod|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Night Goblin Big Boss,Night_Goblin_Big_Boss,hero,wh3_dlc26_grn_night_goblin_big_boss,dignitary,dignitary,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_dlc03_grn_black_pit|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,false,,,wh3_dlc26_skill_node_set_grn_night_goblin_big_boss,,1,dignitary,false,false,,,,wh3_dlc26_skill_grn_night_goblin_big_boss_generic_1,wh3_dlc26_skill_grn_night_goblin_big_boss_deadly_schemer,Deadly Schemer,"There is no one whom the Night Goblin Big Boss has faced and hasn’t ran away from – and no one whose back he has seen and hasn’t stabbed, and killed.",character_agent.png,3,0,0,0,true,0,1,1,Deadly Schemer,"There is no one whom the Night Goblin Big Boss has faced and hasn’t ran away from – and no one whose back he has seen and hasn’t stabbed, and killed.",,,,,,wh_main_effect_agent_movement_range_mod,Campaign movement range: %+n%,{{tr:campaign_movement_range_additional_tooltip}},character_to_character_own_unembedded_text,20,campaign,100,true,campaign_movement.png,campaign_movement.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc26_skill_grn_night_goblin_big_boss_deadly_schemer|wh_main_effect_agent_movement_range_mod|1|character_to_character_own_unembedded_text
node,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Night Goblin Big Boss,Night_Goblin_Big_Boss,hero,wh3_dlc26_grn_night_goblin_big_boss,dignitary,dignitary,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_dlc03_grn_black_pit|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,false,,,wh3_dlc26_skill_node_set_grn_night_goblin_big_boss,,1,dignitary,false,false,,,,wh3_dlc26_skill_node_grn_night_goblin_big_boss_self_04,wh_main_skill_all_spy_self_precise_2,Precise,"Whether a targeted slice to the throat, or a precision stab to the heart, this one knows how to kill!",character_damage.png,3,3,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc26_skill_node_grn_night_goblin_big_boss_self_04
effect,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Night Goblin Big Boss,Night_Goblin_Big_Boss,hero,wh3_dlc26_grn_night_goblin_big_boss,dignitary,dignitary,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_dlc03_grn_black_pit|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,false,,,wh3_dlc26_skill_node_set_grn_night_goblin_big_boss,,1,dignitary,false,false,,,,wh3_dlc26_skill_node_grn_night_goblin_big_boss_self_04,wh_main_skill_all_spy_self_precise_2,Precise,"Whether a targeted slice to the throat, or a precision stab to the heart, this one knows how to kill!",character_damage.png,3,3,0,0,true,0,3,1,Precise,"Whether a targeted slice to the throat, or a precision stab to the heart, this one knows how to kill!",,,,,,wh_main_effect_character_stat_weapon_strength,Weapon strength: %+n%,,character_to_character_own,5,both,160,true,weapon_damage_character.png,weapon_damage_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_spy_self_precise_2|wh_main_effect_character_stat_weapon_strength|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Night Goblin Big Boss,Night_Goblin_Big_Boss,hero,wh3_dlc26_grn_night_goblin_big_boss,dignitary,dignitary,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_dlc03_grn_black_pit|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,false,,,wh3_dlc26_skill_node_set_grn_night_goblin_big_boss,,1,dignitary,false,false,,,,wh3_dlc26_skill_node_grn_night_goblin_big_boss_self_04,wh_main_skill_all_spy_self_precise_2,Precise,"Whether a targeted slice to the throat, or a precision stab to the heart, this one knows how to kill!",character_damage.png,3,3,0,0,true,0,3,2,Precise,"Whether a targeted slice to the throat, or a precision stab to the heart, this one knows how to kill!",,,,,,wh_main_effect_character_stat_weapon_strength,Weapon strength: %+n%,,character_to_character_own,12,both,160,true,weapon_damage_character.png,weapon_damage_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_spy_self_precise_2|wh_main_effect_character_stat_weapon_strength|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Night Goblin Big Boss,Night_Goblin_Big_Boss,hero,wh3_dlc26_grn_night_goblin_big_boss,dignitary,dignitary,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_dlc03_grn_black_pit|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,false,,,wh3_dlc26_skill_node_set_grn_night_goblin_big_boss,,1,dignitary,false,false,,,,wh3_dlc26_skill_node_grn_night_goblin_big_boss_self_04,wh_main_skill_all_spy_self_precise_2,Precise,"Whether a targeted slice to the throat, or a precision stab to the heart, this one knows how to kill!",character_damage.png,3,3,0,0,true,0,3,3,Precise,"Whether a targeted slice to the throat, or a precision stab to the heart, this one knows how to kill!",,,,,,wh_main_effect_character_stat_weapon_strength,Weapon strength: %+n%,,character_to_character_own,20,both,160,true,weapon_damage_character.png,weapon_damage_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_spy_self_precise_2|wh_main_effect_character_stat_weapon_strength|3|character_to_character_own
node,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Night Goblin Big Boss,Night_Goblin_Big_Boss,hero,wh3_dlc26_grn_night_goblin_big_boss,dignitary,dignitary,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_dlc03_grn_black_pit|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,false,,,wh3_dlc26_skill_node_set_grn_night_goblin_big_boss,,1,dignitary,false,false,,,,wh3_dlc26_skill_node_grn_night_goblin_big_boss_campaign_04,wh2_main_skill_all_hero_hinder_agent_wound,{{tr:agent_action_name_wound}},"Such a champion will not bend or break, but slay in their Lord's name.",campaign_wound_time.png,3,5,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc26_skill_node_grn_night_goblin_big_boss_campaign_04
skill_level,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Night Goblin Big Boss,Night_Goblin_Big_Boss,hero,wh3_dlc26_grn_night_goblin_big_boss,dignitary,dignitary,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_dlc03_grn_black_pit|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,false,,,wh3_dlc26_skill_node_set_grn_night_goblin_big_boss,,1,dignitary,false,false,,,,wh3_dlc26_skill_node_grn_night_goblin_big_boss_campaign_04,wh2_main_skill_all_hero_hinder_agent_wound,{{tr:agent_action_name_wound}},"Such a champion will not bend or break, but slay in their Lord's name.",campaign_wound_time.png,3,5,0,0,true,0,3,2,{{tr:agent_action_name_wound}},"Such a champion will not bend or break, but slay in their Lord's name.",4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_hinder_agent_wound|2|||
skill_level,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Night Goblin Big Boss,Night_Goblin_Big_Boss,hero,wh3_dlc26_grn_night_goblin_big_boss,dignitary,dignitary,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_dlc03_grn_black_pit|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,false,,,wh3_dlc26_skill_node_set_grn_night_goblin_big_boss,,1,dignitary,false,false,,,,wh3_dlc26_skill_node_grn_night_goblin_big_boss_campaign_04,wh2_main_skill_all_hero_hinder_agent_wound,{{tr:agent_action_name_wound}},"Such a champion will not bend or break, but slay in their Lord's name.",campaign_wound_time.png,3,5,0,0,true,0,3,3,{{tr:agent_action_name_wound}},"Such a champion will not bend or break, but slay in their Lord's name.",9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_hinder_agent_wound|3|||
